Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Dialogue Act,turn_index
1794,What?!,Chandler,surprise,180,13,8,24,"00:03:20,146","00:03:21,397",q,10
1795,Look how nervous he gets! We haven't slept together in years!,Janice,joy,180,14,8,24,"00:03:21,564","00:03:25,234",s,11
2140,"So Chandler, your parents must've been thrilled when you told them you were engaged.",Mrs. Geller,joy,211,0,7,2,"00:09:26,023","00:09:29,734",o,0
2141,"Oh yeah, I should probably call them.",Chandler,neutral,211,1,7,2,"00:09:29,986","00:09:32,195",o,1
2142,I remember when we first got engaged.,Mr. Geller,joy,211,2,7,2,"00:09:33,239","00:09:35,490",s,2
2143,"Oh, I don't think I ever heard that story.",Chandler,neutral,211,3,7,2,"0:09:35,700","0:09:37,222",o,3
2145,"Well, I'd gotten Judy pregnant. I still don't know how that happened.",Mr. Geller,joy,211,5,7,2,"00:09:38,077","00:09:43,999",s,4
2146,You don't know how that happened?! Your dog thought my diaphragm was a chew toy!,Mrs. Geller,disgust,211,6,7,2,"00:09:44,166","00:09:48,503",s,5
2147,What a sweet story.,Chandler,neutral,211,7,7,2,"00:09:51,507","00:09:53,258",o,6
2148,"Well, at least you're not hearing it for the first time at your fifth grade Halloween party.",Monica,disgust,211,8,7,2,"00:09:54,343","00:09:57,220",s,7
2149,What?! They wanted a scary story!,Mr. Geller,surprise,211,9,7,2,"00:09:57,471","00:09:59,097",s,8
2150,"Anyway, we're really excited about our wedding plans, and well I guess pretty soon we'll be making a big withdrawal from the Monica wedding fund.",Monica,joy,211,10,7,2,"00:10:00,725","00:10:09,190",s,9
2151,What?,Monica,surprise,211,11,7,2,"0:10:12,278","0:10:13,154",q,10
2152,"You tell her Jack, I can't do it.",Mrs. Geller,fear,211,12,7,2,"0:10:13,154","0:10:14,981",ans,11
2923,"Whoa-whoa, what is it?",Joey,surprise,295,0,7,11,"00:13:45,908","00:13:47,075",q,0
2924,Well It's a date.,Phoebe,neutral,295,1,7,11,"00:13:48,077","00:13:50,995",ans,1
2925,A date?!,Joey,surprise,295,2,7,11,"00:13:51,163","00:13:53,000",q,2
2926,"No, no Pheebs you-you must be mistaken, because I know you wouldn't schedule a date on the same night you have plans with a friend!",Joey,surprise,295,3,7,11,"00:13:51,163","00:13:58,670",o,3
2927,"Come on Joey, don't make me feel badly about this.",Phoebe,sadness,295,4,7,11,"00:13:58,838","00:14:00,713",s,4
2928,"No, I'm gonna!!",Joey,anger,295,5,7,11,"00:14:00,881","00:14:02,423",s,5
2929,That's right!,Joey,anger,295,6,7,11,"00:14:03,968","00:14:06,261",s,6
2930,"Yeah, you made me feel really guilty about goin' out with that girl!",Joey,anger,295,7,7,11,"00:14:06,428","00:14:07,762",s,7
2931,Like-like-like I did something terrible to you!,Joey,anger,295,8,7,11,"0:14:07,930","0:14:09,849",s,8
2932,"And now Pheebs, you're doing the same thing!",Joey,anger,295,9,7,11,"0:14:09,849","0:14:11,778",s,9
2933,ThatIt's not the same thing! This is,Phoebe,anger,295,10,7,11,"00:14:11,892","00:14:14,602",s,10
2934,"Okay, well my girl from the other night was special. She was a scientist too!",Joey,anger,295,11,7,11,"00:14:19,733","00:14:23,319",s,11
3359,"....and 12, 22, 18, four... What?",Ross,surprise,336,0,3,10,"00:11:55,840","00:12:07,000",q,0
3360,I spelled out boobies.,Chandler,joy,336,1,3,10,"00:12:06,267","00:12:09,102",ans,1
3361,"Ross, but me down for another box of the mint treasures, okay. Where, where are the mint treasures?",Monica,neutral,336,2,3,10,"00:12:13,649","00:12:20,071",q,2
3362,"Ah, we're out. I sold them all.",Ross,neutral,336,3,3,10,"00:12:20,948","00:12:23,032",ans,3
3363,What?,Monica,surprise,336,4,3,10,"00:12:23,534","00:12:25,076",q,4
3365,No.,Monica,sadness,336,6,3,10,"00:12:29,915","00:12:32,959",dag,5
3366,"No, just, just, just a couple more boxes.",Monica,anger,336,7,3,10,"00:12:29,915","00:12:35,211",s,6
3367,"It-it-it's no big deal, all right, I'm-I'm cool.",Monica,fear,336,8,3,10,"00:12:29,915","00:12:39,591",o,7
3368,You gotta help me out with a couple more boxes!,Monica,sadness,336,9,3,10,"00:12:33,502","00:12:44,137",s,8
3369,"Mon, look at yourself. You have cookie on your neck.",Ross,disgust,336,10,3,10,"00:12:45,222","00:12:47,724",s,9
3370,Oh God!,Monica,sadness,336,11,3,10,"00:12:48,184","00:12:49,225",oth,10
3371,"So, how many have you sold so far?",Chandler,neutral,336,12,3,10,"00:12:51,353","00:12:55,398",q,11
3402,"Uhh, Rachel, my parents",Joshua,neutral,338,0,4,18,"00:15:40,189","00:15:42,607",s,0
3403,Ohh! It's so nice to meet you. Hello.,Rachel,joy,338,1,4,18,"00:15:42,775","00:15:46,694",g,1
3406,"Hello. Well, Joshua, that $500 was for groceries.",Mrs. Burgin,neutral,338,2,4,18,"00:15:47,321","00:15:52,450",s,2
3407,What?,Rachel,surprise,338,3,4,18,"00:15:53,994","00:15:54,000",q,3
3408,"This-this, no, oh no, no-no-no, this is notthat's-that's not what it is.",Rachel,joy,338,4,4,18,"00:15:53,994","00:15:58,873",s,4
3409,"See, see, okay, I work in fashion, see and-and, this is a real dress actually.",Rachel,neutral,338,5,4,18,"00:15:59,041","00:16:04,921",s,5
3410,"It's-it's, they're-they're wearing it in Milan, so part of my job is too wear the clothes, and then I see how people respond, and then I report back to my superiors at",Rachel,neutral,338,6,4,18,"00:16:05,089","00:16:17,767",s,6
3411,Maybe in L.A?,Mrs. Burgin,neutral,338,7,4,18,"0:16:27,528","0:16:28,790",o,7
3412,Yes!,Rachel,joy,338,8,4,18,"0:16:28,790","0:16:29,620",ag,8
3413,There you go.,Joshua,neutral,338,9,4,18,"0:16:29,738","0:16:30,531",s,9
3414,"So, have you kids eaten yet?",Mr. Burgin,neutral,338,10,4,18,"0:16:30,531","0:16:32,876",q,10
3415,"Well, we were going to do that afterI mean umm, next.",Rachel,neutral,338,11,4,18,"00:16:32,992","00:16:35,535",ans,11
3834,Hey! Where ya headin' in those pants? 1982?,Monica,joy,388,0,3,5,"00:05:45,261","00:05:48,972",q,0
3835,"Oh Monica, listen, I ah, I saw down at the hardware store, they got those designer tiles on sale.",Joey,neutral,388,1,3,5,"00:05:50,725","00:05:55,604",s,1
3836,If you ever want to redo the bathroom floor.,Joey,neutral,388,2,3,5,"00:05:50,725","00:05:57,689",s,2
3837,"Why, what's wrong with my bathroom floor?",Monica,surprise,388,3,3,5,"00:05:58,107","00:06:00,233",q,3
3838,"Nothing. It's just old and dingy, that's all.",Joey,disgust,388,4,3,5,"00:06:00,401","00:06:03,320",ans,4
3839,I highly doubt that.,Monica,anger,388,5,3,5,"00:06:04,197","00:06:07,491",s,5
3840,"Oh yeah. If you ah, move your hamper, you see what color the tile used to be. Yeah.",Joey,disgust,388,6,3,5,"00:06:07,658","00:06:14,748",s,6
3841,I can't live like this! What are we gonna do? What are we gonna do?,Monica,fear,388,7,3,5,"00:06:16,000","00:06:18,710",q,7
3842,Relax. Here hold this . This old stuff just comes right off.,Joey,neutral,388,8,3,5,"00:06:18,878","00:06:23,632",ans,8
3843,That's a little more than I wanted to see.,Monica,disgust,388,9,3,5,"00:06:26,094","00:06:28,470",s,9
3844,Aw!,Joey,surprise,388,10,3,5,"00:06:29,972","00:06:31,223",a,10
3845,"Look at that, every inch of this stuff is glued down.",Joey,surprise,388,11,3,5,"00:06:31,391","00:06:34,393",o,11
3929,"Well, yes, it's kind've an unusual house.",Phoebe Sr,neutral,401,0,3,25,"00:05:04,178","00:05:06,179",ag,0
3930,"It has umm, three beautiful bedrooms and ah, no baths.",Phoebe Sr,neutral,401,1,3,25,"00:05:06,347","00:05:10,142",s,1
3931,"But y'know, the ocean is right there.",Phoebe Sr,neutral,401,2,3,25,"00:05:10,518","00:05:14,062",s,2
3932,"Knock, knock, knock.",Phoebe,neutral,401,3,3,25,"00:05:14,272","00:05:15,647",oth,3
3933,"Ah, oh, hang on a second. Come in, come in. All right, so think about it, and call me back.",Phoebe Sr,neutral,401,4,3,25,"00:05:15,815","00:05:20,068",c,4
3934,"Are you ah, Phoebe Abott?",Phoebe,neutral,401,5,3,25,"0:05:21,904","0:05:23,086",q,5
3935,"Ahh, yes.",Phoebe Sr,neutral,401,6,3,25,"0:05:23,086","0:05:24,166",ans,6
3936,"Hi Phoebe Abott, I'm your best friends daughter!",Phoebe,joy,401,7,3,25,"00:05:24,324","00:05:27,679",g,7
3937,You're Erwin's daughter?!,Phoebe Sr,surprise,401,8,3,25,"00:05:30,079","00:05:31,371",q,8
3938,"No, I-I mean your-your old best friend, here. Lily, from high school. Remember?",Phoebe,neutral,401,9,3,25,"00:05:31,622","00:05:39,254",q,9
3939,"Oh gosh, Lily, yes. Of course I remember Lily. I... Then you must be?",Phoebe Sr,surprise,401,10,3,25,"00:05:35,168","00:05:44,301",ans,10
3940,"Phoebe. Phoebe. Phoebe, yeah. She named me after you I guess.",Phoebe,sadness,401,11,3,25,"00:05:44,469","00:05:49,097",ans,11
4399,"Item J437-A, color: winterberry.",Ross,neutral,449,0,8,17,"00:20:34,942","00:20:41,864",s,0
4400,"Hi umm, listen come here, come in.",Ross,neutral,449,1,8,17,"00:20:49,456","00:20:52,166",c,1
4401,I'm so-so sorry about yesterday.,Ross,sadness,449,2,8,17,"00:20:52,334","00:20:55,044",ap,2
4402,I-I'm really sorry.,Ross,sadness,449,3,8,17,"0:20:55,796","0:20:56,678",ap,3
4403,It's just that I,Ross,joy,449,4,8,17,"0:20:56,678","0:20:57,973",s,4
4404,"Listen Ross, you don't have to apologize. I understand why you were there.",Mona,neutral,449,5,8,17,"00:20:58,090","00:21:02,802",s,5
4405,You do?,Ross,surprise,449,6,8,17,"0:21:03,136","0:21:03,929",q,6
4406,"Yeah, you still have feelings for me.",Mona,sadness,449,7,8,17,"0:21:03,929","0:21:06,071",ans,7
4407,"And-and to be honest, I-I still have feelings for you.",Mona,joy,449,8,8,17,"00:21:06,181","00:21:10,268",s,8
4408,"And I wish that we can work it out Ross, but we can't.",Mona,sadness,449,9,8,17,"00:21:10,435","00:21:12,895",o,9
4409,"It's too complicated with you and Rachel and the baby, I-I just It just wasn't meant to be.",Mona,sadness,449,10,8,17,"00:21:13,063","00:21:20,444",o,10
4410,Oh God you're right.,Ross,joy,449,11,8,17,"00:21:22,281","00:21:24,115",ag,11
5568,"Something went wrong with Underdog, and they couldn't get his head to inflate.",Monica,neutral,561,0,1,5,"00:17:40,934","00:17:45,271",s,0
5569,"So anyway, um, his head is like flopping down Broadway, right, and I'm just thinking... how inappropriate this is.",Monica,joy,561,1,1,5,"00:17:46,607","00:17:54,447",s,1
5570,"Um, I've got something in my eye, uh, Joey, could we check it in the light, please?",Monica,neutral,561,2,1,5,"00:17:58,786","00:18:02,789",c,2
5571,Oh my god.,Monica,surprise,561,3,1,5,"0:18:06,126","0:18:06,968",oth,3
5572,What?,Joey,surprise,561,4,1,5,"0:18:06,968","0:18:07,599",q,4
5573,Hello! Were we at the same table? It's like... cocktails in Appalachia.,Monica,anger,561,5,1,5,"00:18:07,795","00:18:13,007",g,5
5574,"Come on, they're close.",Joey,neutral,561,6,1,5,"0:18:17,513","0:18:18,605",c,6
5575,Close? She's got her tongue in his ear.,Monica,disgust,561,7,1,5,"0:18:18,605","0:18:21,738",s,7
5576,"Oh, like you've never gotten a little rambunctious with Ross.",Joey,neutral,561,8,1,5,"00:18:22,476","00:18:26,479",s,8
5577,"Joey, this is sick, it's disgusting, it's, it'snot really true, is it?",Monica,disgust,561,9,1,5,"00:18:27,689","00:18:33,903",q,9
5578,"Well, who's to say what's true? I mean...",Joey,neutral,561,10,1,5,"00:18:34,154","00:18:39,951",q,10
5579,"Oh my god, what were you thinking?",Monica,disgust,561,11,1,5,"00:18:36,073","00:18:41,619",q,11
6128,"Well, maybe it's a contest, y'know? Like, collect all five?",Chandler,neutral,615,0,1,3,"00:14:12,768","00:14:15,395",q,0
6129,"Does, um, anyone wanna see?",Phoebe,neutral,615,1,1,3,"00:14:17,940","00:14:19,148",q,1
6130,Nooo..,All,disgust,615,2,1,3,"00:14:19,358","00:14:20,775",ans,2
6131,"Oh, hey, don't do that! Cut it out!",All,anger,615,3,1,3,"00:14:21,777","00:14:24,237",c,3
6132,It's worse than the thumb!,Rachel,disgust,615,4,1,3,"00:14:24,446","00:14:25,947",o,4
6133,"Hey, this is so unfair!",Chandler,anger,615,5,1,3,"00:14:27,741","00:14:29,534",s,5
6134,"Oh, why is it unfair?",Monica,surprise,615,6,1,3,"0:14:29,743","0:14:31,954",q,6
6135,So I have a flaw!,Chandler,anger,615,7,1,3,"0:14:31,954","0:14:33,046",ans,7
6136,Big deal!,Chandler,anger,615,8,1,3,"0:14:33,046","0:14:34,152",oth,8
6137,Like Joey's constant knuckle-cracking isn't annoying?,Chandler,anger,615,9,1,3,"00:14:34,248","00:14:36,958",q,9
6138,"And Ross, with his over-pronouncing every single word?",Chandler,anger,615,10,1,3,"00:14:37,167","00:14:39,335",q,10
6139,"And Monica, with that snort when she laughs?",Chandler,anger,615,11,1,3,"00:14:39,545","00:14:41,671",q,11
6224,Well obviously only one of us can keep dating her.,Ross,neutral,625,0,7,17,"00:10:45,561","00:10:48,605",s,0
6225,"Obviously! So, how do we decide?",Joey,neutral,625,1,7,17,"00:10:48,814","00:10:52,484",q,1
6226,"Well now let's-let's look at this objectively, I think I should date her",Ross,neutral,625,2,7,17,"00:10:52,693","00:10:58,740",ans,2
6227,Uh-huh. Uh-huh.,Joey,neutral,625,3,7,17,"00:11:00,534","00:11:02,035",b,3
6228,"That's interesting, but check this out. I date her",Ross,joy,625,4,7,17,"00:11:06,123","00:11:10,585",s,4
6229,Yeah-yeah I like that but just to go in another direction,Joey,neutral,625,5,7,17,"00:11:11,003","00:11:13,505",ag,5
6230,"Okay, okay. This can go on for a while.",Ross,neutral,625,6,7,17,"00:11:13,756","00:11:16,132",a,6
6231,Yeah well we should order some food then.,Joey,neutral,625,7,7,17,"00:11:16,342","00:11:19,427",s,7
6232,"No Joey! Look why don't, why don't we just let her decide? Okay? Hey-hey, we'll",Ross,neutral,625,8,7,17,"00:11:20,971","00:11:30,438",dag,8
6233,That sounds fair.,Joey,neutral,625,9,7,17,"00:11:31,524","00:11:33,817",s,9
6234,Maybe I'll take her to that new French restaurant down the street,Ross,neutral,625,10,7,17,"00:11:34,151","00:11:37,862",o,10
6235,Ah yeahwait a second now!,Joey,anger,625,11,7,17,"0:11:38,072","0:11:39,634",c,11
6868,is for me not to see you anymore.,Ross,sadness,676,0,5,5,"00:10:07,607","00:10:11,735",oth,0
6869,That's crazy!,Rachel,surprise,676,1,5,5,"0:10:13,904","0:10:15,426",oth,1
6870,You can't do that!,Rachel,surprise,676,2,5,5,"0:10:15,426","0:10:16,488",s,2
6871,What are you going to tell her?,Rachel,sadness,676,3,5,5,"0:10:16,488","0:10:18,819",q,3
6872,Oh God.,Rachel,fear,676,4,5,5,"00:10:24,123","00:10:26,333",oth,4
6873,"Ohh, you already agreed to this, haven't you?",Rachel,sadness,676,5,5,5,"00:10:27,126","00:10:29,377",q,5
6874,"It's awful I know, I mean, I feel terrible but I have to do this if I want my marriage to work.",Ross,sadness,676,6,5,5,"00:10:32,882","00:10:36,676",s,6
6875,"And I do, I have to make",Ross,sadness,676,7,5,5,"00:10:36,844","00:10:41,389",s,7
6876,Ohh! Lucky me! Oh my God! That,Rachel,surprise,676,8,5,5,"00:10:52,635","00:10:57,489",oth,8
6877,You have no idea what a nightmare this has been. This is so hard.,Ross,sadness,676,9,5,5,"00:11:03,996","00:11:09,042",s,9
6878,"Oh yeah, really? Is it Ross? Yeah? Okay, well let me make this a just a little bit easier for you.",Rachel,anger,676,10,5,5,"00:11:09,210","00:11:15,632",q,10
6879,What are you doing?,Ross,surprise,676,11,5,5,"00:11:11,712","00:11:15,632",q,11
6945,"Ben, I want you to know that there may be some times when I may not be around, like this.",Ross,sadness,682,0,1,23,"00:20:29,436","00:20:37,401",s,0
6946,"But I'll still always come back, like this.",Ross,neutral,682,1,1,23,"00:20:39,988","00:20:45,576",s,1
6947,"And sometimes I may be away longer, like this.",Ross,neutral,682,2,1,23,"00:20:46,662","00:20:52,375",s,2
6948,"But I'll still always come back, like this.",Ross,neutral,682,3,1,23,"00:20:55,796","00:21:02,843",o,3
6949,"And sometimes, I'll want you to steal third, and I'll go like this.",Chandler,neutral,682,4,1,23,"00:21:03,971","00:21:09,016",s,4
6950,He is so amazing.,Monica,joy,682,5,1,23,"00:21:17,651","00:21:19,610",o,5
6951,"Oh, I know. Look at him.",Rachel,joy,682,6,1,23,"00:21:19,778","00:21:22,238",c,6
6952,"Ben, Ben, hey Ben. Nothing. I don't think that's his name.",Joey,neutral,682,7,1,23,"00:21:22,406","00:21:31,664",dag,7
