Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Dialogue Act,turn_index
220,How does she do that?,Monica,surprise,21,0,1,4,"00:01:49,275","00:01:51,485",q,0
221,I cannot sleep in a public place.,Ross,neutral,21,1,1,4,"00:01:51,653","00:01:54,822",o,1
222,Would you look at her? She is so peaceful.,Monica,joy,21,2,1,4,"00:01:54,989","00:02:00,994",q,2
223,Oh! What what what! ...Hi.,Phoebe,surprise,21,3,1,4,"00:02:01,162","00:02:03,622",g,3
224,"It's okay, y'know, you just nodded off again.",Ross,neutral,21,4,1,4,"00:02:03,790","00:02:05,958",s,4
225,What's going on with you?,Monica,surprise,21,5,1,4,"00:02:06,126","00:02:08,127",q,5
226,I got no sleep last night!,Phoebe,anger,21,6,1,4,"0:02:08,294","0:02:09,587",ans,6
227,Why?,Ross,neutral,21,7,1,4,"0:02:09,587","0:02:09,991",q,7
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,21,8,1,4,"00:02:10,088","00:02:17,177",ans,8
229,"Oh, and deaf.",Phoebe,neutral,21,9,1,4,"00:02:17,345","00:02:18,887",oth,9
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,21,10,1,4,"00:02:20,682","00:02:24,726",s,10
231,You have no idea how loud they are!,Phoebe,disgust,21,11,1,4,"00:02:24,894","00:02:26,937",s,11
270,"Oh God, this is so nerve wracking! How-how do you do this?",Ross,surprise,26,0,5,18,"00:09:41,414","00:09:44,958",q,0
271,"Well, unfortunately, I don't get many callbacks so",Joey,neutral,26,1,5,18,"00:09:45,126","00:09:48,128",ans,1
272,Is it a good sign that they asked us to hang around after the audition?,Carol,surprise,26,2,5,18,"00:09:49,046","00:09:51,715",q,2
273,Who knows?,Joey,neutral,26,3,5,18,"00:09:51,882","00:09:53,508",s,3
274,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",The Casting Director,neutral,26,4,5,18,"00:09:55,219","00:10:02,976",s,4
275,Yes!! I knew it!! Bye-bye! So long! Later!,Ross,joy,26,5,5,18,"00:10:03,144","00:10:13,403",g,5
276,Oh this is great! I might actually get to play Ben's dad!,Joey,joy,26,6,5,18,"00:10:15,281","00:10:17,824",s,6
277,Yeah!,Ross,joy,26,7,5,18,"00:10:17,824","00:10:18,743",b,7
278,"Actually, that can't happen.",The Casting Director,neutral,26,8,5,18,"00:10:18,743","00:10:20,243",dag,8
279,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",The Casting Director,neutral,26,9,5,18,"00:10:20,411","00:10:25,665",o,9
280,So it'll be either you two or you two.,The Casting Director,neutral,26,10,5,18,"00:10:25,833","00:10:28,585",o,10
281,"Man, this is gonna be kinda weird.",Joey,sadness,26,11,5,18,"00:10:29,920","00:10:35,508",dag,11
308,"This is my father, Paul Stevens. Dad, this is Ross Geller.",Elizabeth,neutral,30,0,6,21,"00:04:19,342","00:04:23,262",s,0
309,It-it's great to meet you Paul.,Ross,joy,30,1,6,21,"00:04:23,429","00:04:25,847",g,1
310,I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens.,Paul,neutral,30,2,6,21,"00:04:26,015","00:04:29,476",o,2
311,"Of course, of course, Mr. Stevens.",Ross,neutral,30,3,6,21,"00:04:30,812","00:04:33,021",ag,3
312,"So Ross, what your problem?",Paul,anger,30,4,6,21,"00:04:33,189","00:04:37,901",q,4
313,Eh-whExcuse me?,Ross,surprise,30,5,6,21,"00:04:39,862","00:04:41,113",ans,5
314,Why can't you get a girlfriend your own age?,Paul,anger,30,6,6,21,"00:04:41,281","00:04:43,282",q,6
315,That's funny. Umm. It's not funny.,Ross,fear,30,7,6,21,"00:04:43,992","00:04:52,374",ans,7
316,I,Paul,neutral,30,8,6,21,"00:04:49,706","00:04:52,374",oth,8
317,Okay.,Ross,neutral,30,9,6,21,"0:04:52,542","0:04:52,844",oth,9
318,"I can, I can see that.",Ross,neutral,30,10,6,21,"0:04:52,844","0:04:55,338",s,10
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",Ross,fear,30,11,6,21,"00:04:55,461","00:05:00,799",o,11
329,Ooooohh!,Joey and Chandler,surprise,32,0,1,12,"00:10:59,992","00:11:01,034",oth,0
330,"Oh yeah, I'm sure. And all of a sudden his hands weren't the problem anymore.",Phoebe,neutral,32,1,1,12,"00:11:01,202","00:11:14,005",o,1
331,Was it...?,Monica,surprise,32,2,1,12,"00:11:18,386","00:11:19,487",q,2
332,"Oh, boy scouts could have camped under there.",Phoebe,neutral,32,3,1,12,"00:11:19,595","00:11:22,097",ans,3
333,"""Ooo,"" what?",Rachel,surprise,32,4,1,12,"0:11:24,225","0:11:26,687",q,4
334,Uma Thurman.,Phoebe,neutral,32,5,1,12,"0:11:26,687","0:11:26,829",ans,5
335,Oh!,Monica,surprise,32,6,1,12,"0:11:26,936","0:11:28,021",oth,6
336,The actress!,Ross,surprise,32,7,1,12,"0:11:28,021","0:11:28,166",s,7
337,Thanks Rach.,Ross,neutral,32,8,1,12,"00:11:31,023","00:11:32,732",g,8
338,So what are you gonna do?,Chandler,surprise,32,9,1,12,"0:11:34,652","0:11:35,824",q,9
339,You have to tell her!,Ross,joy,32,10,1,12,"0:11:35,824","0:11:36,658",o,10
340,You have to tell her!,Ross,joy,32,11,1,12,"00:11:36,779","00:11:39,531",o,11
407,Happy?! Is that what I'm supposed to be Vic? Happy?,Kate,anger,39,0,3,19,"00:11:00,868","00:11:03,912",q,0
408,"Well, why don't you tell me what you're supposed to be!",Joey,anger,39,1,3,19,"0:11:05,623","0:11:07,515",q,1
409,Huh?,Joey,surprise,39,2,3,19,"0:11:07,515","0:11:08,269",b,2
410,Because I sure as hell can't figure it out!,Joey,anger,39,3,3,19,"00:11:08,376","00:11:10,835",s,3
411,I talk to you and nothin'.,Joey,anger,39,4,3,19,"00:11:11,003","00:11:13,421",s,4
412,"You look at me, and it's nothin'.",Joey,anger,39,5,3,19,"0:11:13,589","0:11:15,258",s,5
413,Nothing.,Joey,anger,39,6,3,19,"0:11:15,258","0:11:16,114",oth,6
414,"Tasty! I'm really starting to feel like you guys have a history, it's-it's nice.",The Director,joy,39,7,3,19,"00:11:23,057","00:11:30,021",o,7
415,I have a question about this scene.,Kate,neutral,39,8,3,19,"0:11:30,189","0:11:31,941",s,8
416,Yes?,The Director,neutral,39,9,3,19,"0:11:31,941","0:11:32,589",ag,9
417,"Well, I don't understand why Adrienne's attracted to Victor.",Kate,disgust,39,10,3,19,"00:11:32,692","00:11:37,112",q,10
418,"Peel the onion. First of all, he's good looking.",The Director,neutral,39,11,3,19,"00:11:37,279","00:11:43,743",ans,11
426,I can't,Phoebe,anger,40,0,8,4,"00:04:36,859","00:04:40,237",dag,0
427,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,Joey,anger,40,1,8,4,"00:04:40,405","00:04:43,532",o,1
428,Y'know who has a great video camera?,Chandler,neutral,40,2,8,4,"0:04:47,996","0:04:50,008",q,2
429,Greg and Jenny?,Phoebe,neutral,40,3,8,4,"0:04:50,008","0:04:51,709",ans,3
430,Do you still wanna call em? I wanna call em.,Monica,neutral,40,4,8,4,"0:04:52,417","0:04:54,879",q,4
431,Let's call em.,Chandler,neutral,40,5,8,4,"0:04:54,879","0:04:55,020",ans,5
432,Yeah! Ask them if they brought their friends any souvenirs!,Joey,joy,40,6,8,4,"00:04:55,169","00:04:57,421",s,6
433,Hello? Eighth street deli?,Monica,neutral,40,7,8,4,"00:05:04,095","00:05:06,471",g,7
434,"Hey, hang up! You get food poisoning just talkin' to that place.",Joey,disgust,40,8,8,4,"00:05:06,681","00:05:10,726",s,8
435,"Uh sorry, wrong number.",Monica,fear,40,9,8,4,"0:05:10,977","0:05:12,187",ap,9
436,Here you go.,Chandler,neutral,40,10,8,4,"0:05:12,187","0:05:14,079",s,10
437,Hello? It's the deli again!,Monica,surprise,40,11,8,4,"00:05:16,566","00:05:19,609",s,11
441,"Gotta go. I miss you too, I love you, but it's getting real late now",Mr. Tribbiani,sadness,41,0,1,13,"00:04:41,281","00:04:49,162",s,0
442,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me? Did you know this isn't Ma?",Joey,surprise,41,1,1,13,"00:04:45,493","00:04:56,503",q,1
443,Her name's Ronni. She's a pet mortician.,Mr. Tribbiani,neutral,41,2,1,13,"00:05:05,680","00:05:09,891",ans,2
444,Sure. So how long you been...,Joey,neutral,41,3,1,13,"00:05:14,147","00:05:18,358",q,3
445,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",Mr. Tribbiani,neutral,41,4,1,13,"00:05:20,486","00:05:28,994",s,4
446,Since then?!,Joey,surprise,41,5,1,13,"0:05:25,158","0:05:26,076",q,5
447,"No, it's only been six years.",Mr. Tribbiani,neutral,41,6,1,13,"0:05:26,076","0:05:29,058",ans,6
448,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,Mr. Tribbiani,neutral,41,7,1,13,"00:05:29,203","00:05:34,333",o,7
449,...Joe.,Mr. Tribbiani,neutral,41,8,1,13,"0:05:37,003","0:05:37,462",oth,8
450,Y'ever been in love?,Mr. Tribbiani,neutral,41,9,1,13,"0:05:37,462","0:05:39,410",q,9
451,...I d'know.,Joey,neutral,41,10,1,13,"00:05:41,049","00:05:42,090",ans,10
452,Then y'haven't. You're burning your tomatoes.,Mr. Tribbiani,neutral,41,11,1,13,"0:05:44,844","0:05:47,514",s,11
510,"Well, not really.",Ross,neutral,49,0,6,18,"00:12:56,692","00:12:57,859",oth,0
511,"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",Ross,neutral,49,1,6,18,"00:12:58,027","00:13:02,197",s,1
512,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,49,2,6,18,"00:13:02,364","00:13:06,951",s,2
513,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",Monica,joy,49,3,6,18,"00:13:10,039","00:13:15,001",o,3
514,Yeah. What-what should I do?,Ross,fear,49,4,6,18,"0:13:17,963","0:13:19,590",q,4
515,"Well Ross, it seems pretty clear.",Joey,neutral,49,5,6,18,"0:13:19,590","0:13:21,456",ans,5
516,I mean what's more important?,Joey,neutral,49,6,6,18,"0:13:21,550","0:13:22,677",q,6
517,"What people think or how you feel, huh?",Joey,neutral,49,7,6,18,"0:13:22,677","0:13:25,161",q,7
518,"Ross, you gotta follow your heart.",Joey,neutral,49,8,6,18,"0:13:25,262","0:13:26,534",ans,8
519,Joey that is so sweet.,Monica,joy,49,9,6,18,"0:13:26,534","0:13:28,570",ap,9
520,Hey.,Chandler,neutral,49,10,6,18,"00:13:33,771","00:13:36,314",g,10
521,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,49,11,6,18,"00:13:36,482","00:13:40,235",q,11
561,I know.,Monica,neutral,52,0,3,21,"00:12:55,000","00:12:56,232",ag,0
562,"Ooh, I have to tell you something.",Phoebe,joy,52,1,3,21,"00:12:56,400","00:12:57,942",s,1
563,What?,Monica,neutral,52,2,3,21,"0:12:58,360","0:12:58,992",q,2
564,But I can't tell you.,Phoebe,neutral,52,3,3,21,"0:12:58,992","0:13:00,878",ans,3
565,"Okay, but wouldn't it be easier if you had to tell me something that you could tell me.",Monica,neutral,52,4,3,21,"00:13:02,490","00:13:13,917",o,4
566,"Well, sure in a perfect world. But, no, I promised I wouldn't tell, and I swore to like all my gods.",Phoebe,neutral,52,5,3,21,"00:13:06,202","00:13:13,917",s,5
567,Okay. Does it have to do with Ross and Rachel?,Monica,neutral,52,6,3,21,"00:13:15,544","00:13:18,922",q,6
568,No.,Phoebe,neutral,52,7,3,21,"00:13:19,089","00:13:20,256",ans,7
569,Does it have to do with Joey?,Monica,neutral,52,8,3,21,"0:13:20,424","0:13:21,676",q,8
570,No.,Phoebe,neutral,52,9,3,21,"0:13:21,676","0:13:22,578",ans,9
571,Does it have to do with-with Chandler and that sock that he keeps by his bed?,Monica,neutral,52,10,3,21,"00:13:22,676","00:13:26,262",q,10
572,"No, but let's come back to that later!",Phoebe,neutral,52,11,3,21,"00:13:28,599","00:13:30,433",ans,11
582,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,54,0,8,10,"00:19:18,574","00:19:27,123",o,0
583,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,54,1,8,10,"00:19:27,291","00:19:29,876",q,1
584,"Maybe! Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,54,2,8,10,"00:19:30,043","00:19:40,803",ans,2
585,"Joey, I am scared to death about this.",Dina,fear,54,3,8,10,"00:19:40,971","00:19:43,764",s,3
586,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,54,4,8,10,"00:19:43,932","00:19:46,642",o,4
587,And Bobby's gonna be here the whole time.,Dina,neutral,54,5,8,10,"00:19:46,810","00:19:50,771",s,5
588,"You bet I am! And to answer your earlier question, we're straight-up gangster rap.",Bobby,joy,54,6,8,10,"00:19:50,939","00:19:55,943",s,6
589,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",Dina,anger,54,7,8,10,"00:19:59,698","00:20:07,445",q,7
590,Because! Cause Cause you're my baby sister!,Joey,sadness,54,8,8,10,"00:20:07,623","00:20:09,582",ans,8
591,And you're my big brother!,Dina,joy,54,9,8,10,"00:20:09,750","00:20:11,250",s,9
592,"I mean, you're my favorite guy in the whole world.",Dina,neutral,54,10,8,10,"00:20:11,418","00:20:14,670",o,10
593,I'm not even scared to tell mom and dad.,Dina,neutral,54,11,8,10,"0:20:14,838","0:20:17,174",s,11
685,"Sorry, I just don't like the idea of when I say ""I do,"" he's thinking, ""Yeah, I'd do her too!""",Chandler,anger,64,0,7,16,"00:02:15,301","00:02:20,180",o,0
686,Well then we still have a problem.,Monica,neutral,64,1,7,16,"0:02:22,350","0:02:24,082",s,1
687,Yeah!,Chandler,neutral,64,2,7,16,"0:02:24,082","0:02:25,209",ag,2
688,With what?,Phoebe,neutral,64,3,7,16,"0:02:25,209","0:02:25,442",q,3
689,"Well, we're trying to find someone to perform our wedding and they're all either boring or annoying or y'know, can't stop staring at the ladies.",Monica,neutral,64,4,7,16,"00:02:25,562","00:02:32,359",ans,4
690,Oo! You should have one of us do it!,Phoebe,joy,64,5,7,16,"00:02:35,864","00:02:37,781",o,5
691,"Phoebe, we're getting",Monica,neutral,64,6,7,16,"00:02:37,991","00:02:41,118",s,6
692,No! No! It's-it's uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,Phoebe,joy,64,7,7,16,"00:02:41,995","00:02:47,833",o,7
695,I call it!!,Joey,joy,64,8,7,16,"00:02:48,084","00:02:49,085",s,8
696,What?! No! It was my idea!,Phoebe,anger,64,9,7,16,"00:02:50,628","00:02:52,629",dag,9
697,Guys thank you very much but neither of you is marrying us.,Chandler,neutral,64,10,7,16,"00:02:52,797","00:02:56,133",s,10
698,Does calling it not mean anything anymore?!,Joey,anger,64,11,7,16,"00:02:56,301","00:02:58,468",q,11
706,"That was supposed to be a good thing, I forget why.",Phoebe,neutral,66,1,3,6,"00:14:22,611","00:14:25,947",s,0
707,"Just listen, Monica, I, do you know, okay, do you know, I couldn't sleep for like a month because I got like a dot of ink on one of the sofa cushions.",Phoebe,neutral,66,2,3,6,"00:14:28,117","00:14:35,623",s,1
708,"Well, you-you coulda just turned the cushion over.",Monica,neutral,66,3,3,6,"00:14:36,166","00:14:38,459",o,2
709,"Yeah, I would've except I had a big spaghetti stain on the other side.",Phoebe,neutral,66,4,3,6,"00:14:38,669","00:14:41,661",ag,3
710,What?!?!,Monica,surprise,66,5,3,6,"00:14:41,964","00:14:42,964",q,4
711,"Okay, this is what I'm talking about, this. I-I need to live in a land where people can spill.",Phoebe,neutral,66,6,3,6,"00:14:43,257","00:14:48,761",ans,5
712,You can spill. In the sink.,Monica,neutral,66,7,3,6,"00:14:50,055","00:14:53,641",o,6
713,"Aw, honey it's not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don't see that happening.",Phoebe,sadness,66,8,3,6,"00:14:58,939","00:15:04,819",s,7
714,"I love you, too.",Monica,joy,66,9,3,6,"00:15:06,947","00:15:09,324",s,8
715,"Aww, good. What?",Phoebe,joy,66,10,3,6,"00:15:06,947","00:15:13,703",q,9
716,What? I'm just said.,Monica,sadness,66,11,3,6,"00:15:15,497","00:15:16,998",s,10
717,"No you're not, you're wondering which cushion it is.",Phoebe,neutral,66,12,3,6,"00:15:17,791","00:15:20,460",s,11
829,"OK, you've got to promise that you'll never, ever tell Ross that I told you.",Joey,neutral,81,0,1,7,"00:11:33,150","00:11:37,946",s,0
