dialogue_id,target_emotion,target_utterance
668,neutral,"It's not too bad, but it's pretty cold here too. It was about 45 today and it rained this afternoon. I heard it's going to be a little warmer tomorrow."
677,joy,"Terrific! B. A., again and again-B. A."
710,joy,Aright. See you there.
732,joy,that would be great. thanks.
736,joy,It's a good thing you can speak English!
738,joy,Perfect. I'll see you in front of the apartment at eleven thirty.
776,joy,Not at all. A party is a party. I'll be happy to come.
793,joy,Sounds perfect. I can't wait!
797,joy,That's good. See you on Friday.
816,joy,It is very kind of you. I'm so moved by you.
830,anger,"You ’ re unbearable ; you can walk home, I ’ m leaving."
832,anger,"Oh, you men! You are all the same."
861,joy,Thank you very much.
864,joy,"Wow, that would be something to look forward to."
866,joy,No problem. It is always worth trying something new once in your life time.
867,joy,that'd be great! I know he'd appreciate your help.
898,joy,Thank you very much.
914,neutral,"That's so true. When you have a taste for success, you can't let dishonest people like your manager get in the way."
921,joy,Very good idea. Sometimes such pictures can show the house's richness.
931,neutral,Not at all. A party is a party. I ’ ll be happy to come.
941,neutral,Sorry I couldn't help you.
947,neutral,That's for sure. It's always hard for the parents to say no to their children.
948,joy,All right. Have a good night.
967,joy,I would greatly appreciate that.
995,joy,"That's right. OK, let's move on."
1030,sadness,That ’ s a lot of money.
1046,joy,Sounds good! Let's go!
1053,neutral,"I ’ m not trying to discourage you. I ’ m trying to help you. You have to live with these difficulties. Isn ’ t it better to know about them? The more you know about what you have to face, the better you ’ ll do. I promise!"
1068,joy,You are right about that.
1081,joy,they are all good.
1114,neutral,"Yes, some people even pack up his bed quilt and sleep there. That's a little bit crazy."
1116,joy,"Yes, I came to Beijing two years ago looking for new opportunities. I was lucky because my friend introduced me to my current company."
1130,joy,I think we are running out of time. The bank is going to close soon.
1148,joy,thank you so much for your advice. I'll think it over.
1151,joy,Look at the museum guide.It says there are also some sculptures and potteries in this area. Let's rent an audio guide.
1178,joy,You're right. I probably should just work on my paper. Thanks!
1182,joy,thank you very much.
1189,joy,Okay.Thanks for your help.
1204,joy,"Thanks for the vote of confidence, Justin!"
1205,neutral,"I have a flashlight in my closet. If you want to use that to read, you can."
1208,neutral,whatever you say. I just want to get to my meeting!
1209,joy,Oh thanks for inviting me. I'd love to come.
1210,joy,Ok. I can't wait to see it. Let's go!
1211,joy,"Let me have a look. Oh, no. They are Chinese poems which describe this happy scene."
1254,joy,I ’ m excited to be here.
1261,joy,That would be great! Thanks for your help. Can I buy you coffee?
1268,anger,They ’ re really running you into the ground. Why don ’ t you ask for some time off? You could take a long weekend and go away somewhere.
1277,joy,"Goodbye, then. Thanks again for everything."
1284,joy,"Well, thanks, Bill. Let me know what happens. That extra money will really come in handy."
1297,joy,Thanks. Have a good one.
1304,joy,I think you made the right decision.
1315,joy,Umm. I think I ’ ll just stick to my old job and save myself all the hassle of trying to start up a business!
1316,joy,Good for you. I know many people just leave their blogs alone after the first few months.
1321,joy,"Yeah, seems that you have a lot to learn and memorize."
1327,neutral,That sure didn't last long!
1334,joy,That would be lovely. But now let's go and get a drink.
1348,neutral,"Oh, no.On the contrary, there are many beautiful days, especially in the spring and fall."
1353,joy,"Yes, next Saturday. I hope you can make it."
1370,joy,"Thanks, but actually I was hoping I could ask you to write my biography."
1399,joy,"thanks, I will. I'll see you tomorrow then!"
1434,neutral,"Me? No way. I'm dedicated to the company, but I'm not going to leave Taiwan. I'm happy here."
1437,sadness,The Redskin ’ s quarterback just threw a touchdown pass for seven points. We ’ re losing again.
1448,joy,That ’ s perfect.
1460,neutral,"Oh, it's time for the weather reporter. Let's turn on the TV."
1477,joy,Thank you very much.
1480,joy,That's very nice of you.
1489,surprise,What? I thought you liked Patricia.
1503,joy,"Cheer up! Don't let me down. We all make mistakes, and that is life."
1515,joy,Thanks. I plan on it.
1517,joy,That's what friends are for.
1529,neutral,Yes. The government has limited funds and must show that it is using the money responsibly.
1532,joy,That's what everyone says! I can't wait to see it for myself some day.
1547,fear,You are being watched! Be careful Dan! Be careful!
1561,neutral,"Well, I know you do the right thing."
1566,neutral,"You're right, Sarah. I was a fool. I can't believe it. How could I fall for such a trick?"
1569,joy,That's a great idea. I'm going to do the same.
1599,joy,You really can't live without candy.
1621,joy,"Yes, I have. They do an excellent job."
1626,joy,"OK, I like that place."
1627,joy,"I don't know about that, but my door is always open. Stop by anytime."
1634,joy,Good point. I suppose that we all have our own individual styles.
1635,joy,Good-bye. See you again sometime.
1650,neutral,"Two copies? One to keep and one to cut the pictures out of, right?"
1651,neutral,"I always have meals outside, because I ’ m not good at cooking."
1661,joy,You are welcome! We are neighbors!
1664,joy,"I believe in that. Well, the performance is about to begin. Let's be quiet."
1693,joy,"No problem, girl friend. I'll see you next time."
1694,joy,My poor memory. Thank you very much.
1695,neutral,"good night, sleep tight ; don ’ t let the bed bugs bite!"
1710,joy,Ok. Let ’ s go!
1734,joy,"Sometimes, it ’ s hard to know who belongs in each section of the museum!"
1735,joy,"see, now something good has happened to you on a bus trip!"
1736,joy,"Prepare the list, Mother. I can go shopping. I can go to the small stores.Everyone knows me there."
1738,joy,Because its trunk is not thick enough to be like a thousand-year-old tree.
1739,joy,"Oh baby, I ’ m so sorry."
1740,joy,Sounds good. See you there!
1742,joy,Thank you very much!
1745,joy,I always am. You just didn't notice.
1749,joy,You won't be disappointed.
1751,joy,"Well, let me know when you can get it fixed. I ’ d love to go for a ride in it!"
1806,fear,Frightened? You must be joking.
1816,joy,You ’ re welcome.
1839,joy,I appreciate your help.
1852,joy,That ’ s great. Thanks a lot.
1854,joy,"Not at all, but we don ’ t have a very traditional marriage either, so it suited us perfectly!"
1890,joy,No problem. I'll talk to you later.
1892,joy,"Ok, it's a date then!"
1907,neutral,"Yes, probably but I may look for another one when we're settled in."
1917,neutral,It should take at least 20 minutes to get there. Are there any shuttle buses running place to place around the whole zoo?
1924,surprise,"I also have a doubt. Oh, kill me softly, she is May."
1928,joy,"C U here, honey."
1933,neutral,"no, I'd definitely try to restore it to its original state. I love to imagine what it'd be like to live in another time in history and living in a house decorated like it would have been 200 years a"
1936,joy,I will. Thanks a lot.
1958,neutral,Las Vegas is in the southwest.
1963,joy,My poor memory. Thank you very much.
1979,joy,"That's great, see you at seven."
1980,joy,maybe because they think they know everything already! ha ha.
1982,neutral,"Yes, please.we need a record of you education and your work experiences."
1984,neutral,I'll try my best.
1993,neutral,"No, she's at school."
1995,joy,Thank you for caring enough to check on your scores ; keep studying!
1998,joy,"Point taken. Hopefully one day, we'll live in an interplanetary society."
2014,neutral,My wife didn ’ t like it!
2015,neutral,"I don't know.. Well, maybe you are right, but how am I gonna tell her?"
2020,neutral,So there is something wrong with her! It was beginning to sound like she was too good to be true!
2072,joy,It is Europe's spotless land of lakes and mountains! Let me know as soon as you can so we can get a discount.
2076,joy,You're right. Thank you for the advice.
2101,neutral,"Well, I don't know what else you could do then. Do you think bribing them with chocolate would work?"
2105,joy,That ’ s a possibility. Thanks!
2128,neutral,that'for sure but very few.
2192,neutral,Yes. It could happen.
2198,joy,That's not bad. Let's go.
2210,neutral,"Okay, I'll follow your advice."
2217,joy,Okay. See you then.
2222,neutral,"No, I'd definitely try to restore it to its original state. I love to imagine what it'd be like to live in another time in history and living in a house decorated like it would have been 200 years ago would be a great way to feed my imagination even more!"
2240,joy,I guess working with so much money has made me rather greedy. Maybe losing my job would be a good thing!
2274,joy,Don't mention it. Good luck. You're going to need it.
2275,joy,Try to catch this bouquet then.
2282,neutral,"I know, but remember to meet in a public place and don't give out your personal information."
2294,joy,"Yeah, I could hardly wait to see it."
2297,joy,Thanks. Maybe I will do business through Internet in the future.
2299,neutral,That's true. I should make sure my wife and baby stay healthy during this time.
2306,joy,Great. I will prepare some clothes and food for the climbing.
2314,sadness,That doesn ’ t make any sense.
2317,joy,Don't hurry. Wait for my call.
2332,joy,Three. Two boys and a girl.
2335,joy,Alright. I'll have a cup of tea waiting for you.
2348,joy,That ’ s useful to know. Thanks. I ’ ll just log off and shout down my computer and we can go for a coffee.
2356,joy,OK. I'll wait here for you.
2359,joy,Hope you feel better.
2360,joy,I ’ m sure you ’ ll have fun no matter where you go. Remember to take your bag.
2366,joy,I guess I asked the wrong person.
2371,joy,"Hello, Janet.It's me... Oh, fine.Just fine.Say, Janet, I was wondering if you and Tom were doing anything tonight... No? Well.would you like to come by our place and play a few hands of bridge?"
2372,joy,"Thank you, Steven. I accept your advice."
2376,joy,I'll be there on time.
2377,joy,alright. See you later!
2389,joy,"Thanks anyway, but I'll do it, Rebecca. Let's get to class."
2404,neutral,It ’ s an anniversary of our weeding.
2409,joy,that's what everyone says! I can't wait to see it for myself some day.
2435,neutral,Our family is a little different. We go to church on Christmas Eve instead.
2437,joy,OK. I'll wait for you.
2484,joy,I think so too.Let's go!
2486,neutral,What do you think? I ’ m a good boy.
2520,joy,That sounds like a good idea.
2522,joy,No! I am on my way to the reserve room. Thanks again!
2524,joy,"Of course, we are the happiest family in the world."
2525,joy,"Have a nice day, bye!"
2529,joy,Thank you. That ’ s perfect timing.
2544,joy,"you're here a bit early, so check the departure screens in the waiting area in about a half hour. Here's your boarding pass. Enjoy your flight!"
2550,neutral,If I survive the next six months.
2561,joy,"When in Rome, do as the Romans do."
2562,joy,You can use some time off.You'Ve been working too hard anyway.
2573,joy,"See you at seven fifteen, Saturday."
2588,joy,"Yeah, and we can get to know each other at the party."
2591,joy,"Excellent, come over at ten o'clock and we will start at the shopping center, the one around the corner from my house. They have just the shop we need."
2606,joy,You're going to like him. Everybody says he's a nice guy.
2635,neutral,"Yeah, maybe. Alright. Give me an application form."
2640,neutral,"As you know, my city is on the coast.the water is also not clean.but people still go swimming all year around. i prefer to sand bath on the beach when the weather is hot in sunny."
2653,joy,Good-bye. See you again sometime.
2654,joy,"Thank you for coming, Ms.baker."
2655,neutral,Let me think about it. What should I do? I think I will not give up.
2660,joy,You seem to have it down. Have a good day!
2662,joy,Thank you very much.
2672,joy,thank you very much!
2681,neutral,"No, I hate swimming. I prefer playing tennis."
2688,joy,"Well then, we are all straight. Have a good day and thanks for bringing that to my attention."
2717,joy,Ok. That sounds like a deal.
2724,neutral,Just throw them away!
2747,joy,Sounds good. I'll see you then!
2773,joy,Why not? We should do it. Because now we can afford it.
2783,neutral,"Yes, I have. They do an excellent job."
2803,joy,That's a good idea.
2817,neutral,That's something else! Maybe I'll return it to them.
2826,joy,You're right... I should eat something. Let's go.
2863,joy,"That's a good idea, I think I will try that at the next meeting."
2930,joy,Thank you. That's a good idea.she likes exciting books. Can you suggest another one?
2950,joy,The fragrance of plum blossoms comes from the hard coldness.
2968,joy,"Thanks, I think so too."
2987,joy,We can buy the popcorn before entering the cinema.
2991,joy,Certainly it is. It's worth an Academy Award.
3008,neutral,I'm still just surprised you really want to do it.It doesn't seem to go with your character.
3023,neutral,"no, should I have?"
3024,joy,Thank you very much.
3071,joy,Ok. That sounds like a deal.
3098,joy,"Oh, excellent. Why don't we talk in German for a while then?"
3103,joy,That's what friends are for.
3132,neutral,Oh. That helps. Thanks.
3149,joy,Sounds pretty fun. I'll come out and join you next time.
3168,joy,Thanks. I really appreciate that.
3185,joy,"Yes, and I look many pictures."
3204,neutral,"I guess so. But the music is too loud. I don ’ t mind getting out and meeting people, but next time I ’ ll do it in a park."
3216,joy,I think you know that you have to make the best decision for you. Enjoy your year!
3235,joy,let ’ s go together.
3267,joy,That ’ s great. But I prefer to put my money somewhere where the returns are more certain.
3285,surprise,Really? But it's my favorite.
3297,joy,"my pleasure, and have a good time!"
3298,neutral,That's true.Just hope Wendy can recover from the pain of divorce soon.
3303,joy,"Thanks, but actually I was hoping I could ask you to write my biography."
3317,neutral,"Thank you. I have to leave now. If you see Pamela, tell her I'll write to her."
3382,joy,You are very welcome. Come back again.
3383,joy,Great. Then call me and let me know if she's free.
3386,joy,That would be wonderful. Thanks!
3392,joy,I hope to go there someday.
3398,joy,That ’ s great. Thank you so much.
3404,joy,"Have a nice day, bye!"
3410,joy,"You're welcome, honey. I hope we will celebrate our golden wedding anniversary in future."
3417,joy,"Whatever brought us together, I'm happy."
3421,joy,You'll have to try for yourself some day.
3437,neutral,"OK, superman. Put on your cape, we are going to fly home."
3439,joy,"well, let me know when you can get it fixed. I ’ d love to go for a ride in it!"
3475,joy,Thank you. I think I like playing it.
3519,joy,that'd be great. I'll see you then!
3531,joy,"Good night, sleep tight ; don ’ t let the bed bugs bite!"
3532,neutral,Yeah. I think things are worked out just fine.
3533,neutral,You're right. I'm not going to play games during school anymore.
3536,joy,Make sure and come back in a couple of weeks.
3585,joy,thanks. I'll read through it tonight and get back to you tomorrow to sign up for a course.
3620,joy,fine. I'll go vacuum. Let me know if you need any other help.
3626,neutral,I ’ ll do that soon.
3636,joy,All right. See you tomorrow.
3640,neutral,I ’ m just going to keep going to PCC.
3653,neutral,"You know, I really must be going now or I'll be very late. Can you give me a call tomorrow an we'll decide?"
3655,joy,Great! Thank you very much.
3656,joy,That ’ s great. Thank you.
3677,joy,"most of them are office buildings, huge department stores, and hotels but some are just private homes. New York is one of the financial centers of the words so there are lots of very expensive places."
3689,joy,"I see. Well, good luck!"
3693,neutral,"Here are your keys. I ’ ll send my sister to pick up the rest of my things next week. I ’ m sorry, Tim. I wish you all the best, and I hope that one day we can meet again. I ’ ll always love you. Goodbye."
3695,neutral,Sure. You can fully enjoy your time together.
3697,surprise,"Two copies? One to keep and one to cut the pictures out of, right?"
3702,joy,I ’ m so lucky. You only get a chance like this once in a blue moon! Thanks honey!
3705,disgust,So you get drunk every day?
3737,neutral,I think I just have to accept the fact that it's time for us to go our separate ways.
3755,neutral,"I hope so, too."
3757,neutral,Alright. See you later.
3761,neutral,Now I can tell you're definitely addicted to the overflow of information
3766,neutral,"You ’ re unbearable, you can walk home, I ’ m leaving."
3777,joy,"Yes, that's right. You have a good memory."
3805,joy,We'll pick you up at your place at noon. Be there or be square!
3813,neutral,Of course not. We don't do that.
3816,joy,"Yes, you are right. And I was so tired out that I fell asleep on the way back. My muscles are still stiff from the swim yesterday."
3817,joy,I'll see you later then. Have a great day!
3823,joy,Don't mention it. That's what friends are for!
3842,joy,"Goodbye, then. Thanks again for everything."
3854,joy,"Being famous, I can do without, but I wouldn't mind being rich."
3886,joy,I've told you I'm an expert.
3888,joy,"I hope so, too. Bye! Ben."
3897,joy,This is really exciting movie. Lets go to this one.
3905,joy,Great. I ’ m looking forward to it.
3910,joy,"if I were you, I'd apply for some scholarships and grants before you decide. Whatever you do, I know you'll succeed."
3924,joy,Thank you so much.
3948,joy,You have no idea how proud I am of myself.
3954,joy,"Right. The city life has made us tired and out of energy, while the natural world can bring us quite new feelings."
3957,joy,that's a good idea. Let's discuss after work.
3972,joy,"Well, let's take the measurements right now."
3978,joy,"Absolutely! If you come to our class, I am sure you will like him."
3980,joy,Thanks very much. I ’ m sure it will sell well. I can ’ t wait to read it. Here ’ s my card. Thank you for you time.
3991,joy,"I have to get home, but I don't need all of this fancy technology, I think I'll just walk."
3992,neutral,"Thanks, I ’ ll ask him."
4004,joy,( When they are dancing ) You dance gracefully!
4015,joy,So everybody's getting video mail.
4019,disgust,That ’ s stupid.
4035,joy,"Of course, no list of film would be complete without animated movies. These are especially popular among children."
4048,joy,Great. Talk to you then.
4055,joy,"Well, then, I'll talk to you later. Have a good day!"
4073,joy,"Yeah, falling in love is so good."
4087,joy,I'll call the tourist information centre to check.
4128,joy,Great! Let's make a reservation.
4130,joy,"All right, then let's begin."
4134,joy,Yeah! When I got my nose job I was black and blue for a week!
4162,joy,Oh. Graham. I love you so much and I really believe in our love.
4177,joy,"yeah, I'll call her later to patch things up."
4182,joy,He will enjoy himself this weekend.
4184,joy,I will sometime. Thanks for the advice.
4201,joy,That's a great idea. I'm going to do the same.
4206,neutral,"Well, just as long as you realize that red means no parking and white means loading and unloading, I think you know what you need to know."
4214,joy,Umm. yeah! Right! I got the car started! Thanks for your help! I told you to fill the tank!
4229,joy,that would be wonderful. Thanks!
4248,surprise,Frightened? You must be joking.
4259,joy,Thanks for letting me know. I feel relieved now.
4262,joy,"Yes, it's a good habit to have a life-long hobby. Those who practise calligraphy and Qigong always live longer."
4263,neutral,That's right. The company pays for all your medical bills and there is also some financial compensation if you have to take days off to see doctors or spend time recuperating.
4265,joy,Thank you for all your help.
4309,joy,Good luck. I hope you each some fish.
4323,joy,"Thanks. If I am interested, I'll go to the library."
4381,sadness,I have to find something.Otherwise I have to go back to Taiwan. I'll be broke in two months.
4389,joy,Let ’ s move the sofa. Can you get a grip on the bottom at that end? I ’ ll lift this end. I want to move it sideways in that direction.
4428,neutral,I will be done before they come.
4430,joy,"Yeah, it was a lot of fun."
4433,joy,"Yeah, it was nice to meet you. Hope I run into you again sometime."
4470,joy,no wonder you like the class so much.
4474,neutral,"Then they also shouldn't tell us if the robber is male or female, because that is sexist."
4480,anger,"Oh, you men! You're all the same."
4495,joy,"Oh, I know. Thank you."
4499,joy,While staying in love is even better.
4520,joy,I think I'm your lucky fellow.
4524,neutral,"I think you lack in the power of decision. Once you make your decision, don't be overtaken by misgivings and fear. Just go full steam ahead!"
4546,neutral,"Computers are great, aren ’ t they? I should download some program and learn how to use them."
4553,joy,"I ’ m sure that will be very popular.. OK, let ’ s think about how we can put these ideas into practice."
4558,joy,"Thanks, Jeanine, you are a real pal. Let's go in."
4564,joy,You are welcome. Goodbye.
4576,joy,Ok. See you later.
4589,joy,I won't argue with that! Let's go!
4602,neutral,"Oh, no.On the contrary, there are many beautiful days, especially in the spring and fall."
4610,anger,"Wait, what are you doing! You can ’ t just kiss me then go for second base!"
4616,joy,See you soon! Bye! Egg... I can ’ t stand that woman or her obnoxious daughter.
4625,joy,"Yes, I will have a cup of coffee."
4639,neutral,"Yes, actually, the song has been sung since its publication in 1932.People all over the world have sung it in many different languages."
4643,joy,"Thanks. I ’ m proud of myself, too."
4658,joy,Ok. I can't wait to see it. Let's go!
4659,joy,"Thank you for coming, Ms.baker."
4690,neutral,I... I can ’ t breathe.
4703,neutral,"Yes, but you have to calculate a little.You paid fifty dollars and you fell down fifty times.So you only spent one dollar per fall. That's cheap."
4722,joy,"Oh, my shoes pinch me. Let's find a seat and sit a while."
4771,joy,You are so kind. Thanks.
4772,joy,I'm always at your service.
4788,joy,Good-bye. See you again sometime.
4789,neutral,"Yes, we do. Here is your bill and receipt."
4799,joy,"It ’ s a very quiet neighbourhood. There ’ s some traffic, but not much. It ’ s not very difficult to get to the city centre, but you must remember to turn left and right at the right places or you ’ ll get lost. So when are you going to drop by?"
4804,anger,"Well, if I'm not living here anymore, then I won't have to listen to your rules."
4816,joy,"That's all, thank you."
4825,joy,Please accept this tip.
4826,neutral,"No, I want to go to the movies instead."
4828,surprise,"Gosh, Doctor. I had only three plates of ice cream.John had four."
4841,neutral,Thank you very much.
4851,surprise,650 Yuan! You must be kidding! I can subscribe for evening newspapers for ten years with that much!
4866,joy,Thank you very much.
4876,neutral,"David, stop dreaming. It ’ s time to do your homework."
4889,joy,They pay well enough.
4936,joy,So long. Thank you for shopping here.
4942,joy,No. The only thing I need to see is your driver's license.
4949,joy,I really appreciate that.
4958,neutral,"Unfortunately, you'll have to go to the computer lab for your printing needs."
4964,joy,They look delicious. I think she'll be pleased.
4981,joy,Thank you very much for your hospitality.
4987,neutral,"Well, I guess you're out of luck."
4994,neutral,"oh well. You never really liked your boss anyway, did you?"
4996,neutral,That ’ s fine.
5014,joy,"I'm very pleased. We look forward to having you here, Miss Briggs."
5038,joy,OK. I'll take it.
5071,joy,"Ok, that would be great."
5075,joy,Thank you for choosing Bruno's. We look forward to seeing you on the 2nd.
5086,surprise,"Oh, there Isn't? Oh, no."
5100,neutral,Down the hall. I'll show you when the interview is over.
5108,joy,"You really have a bid head, don't you!"
5110,joy,Great. Thanks for you advice!
5115,joy,"You, too! See you tomorrow."
5142,joy,"I know. It's going to save me a lot of money, I hope."
5152,joy,Thanks. I know things are going to be better.
5156,joy,"Don't worry about it, but thank you very much."
5162,neutral,"Wait a moment, Mick. You haven't... Mick? Are you still there? You haven'tgiven me your new address. Hello? Mick? Hello?"
5166,joy,Thanks for your help.
5170,joy,That's great. Thank you very much.
5184,joy,"I like the apartment, Mr.Sellers. You can show me the lease."
5193,joy,That ’ s great news!
5194,joy,OK. We will e-mail you all the information you need tomorrow. Have a good day!
5230,joy,Good boy. I can only imagine how happy she will be to see you.
5251,surprise,"Wait, what are you doing! You can ’ t just kiss me then go for second base!"
5254,neutral,Maybe that's true. I don't know.But I'm sure in Taiwan you have prescriptions too.
5256,joy,"OK, here you are."
5258,joy,"OK. Bingo! We win. Give me five, Mom."
5267,joy,All right. I ’ m glad I could clarify things for you.
5270,joy,Come and see me again in a month's time. I think you'll be a different man!
5293,joy,You are in luck. The traffic is not heavy today.
5295,sadness,All right. Just give me the ticket.
5327,joy,It's reasonable. Here you are.
5345,neutral,that ’ s not a problem. It ’ s unnecessary for this position.
5348,joy,You should. I know you'll like it.
5365,sadness,"Yes, maybe. But I like street shopping. There is more variety. I'm sorry. I just don't like malls."
5401,neutral,Take it easy. Be confident. I'm sure you can do it.
5421,joy,thank you. that would be great.
5432,joy,Thank you. I have got quite clear idea of it.
5443,joy,"Thank you, and have a nice day."
5453,joy,"We'll see. Anyway, I'll prepare some vegetarian food for the barbecue. See you then!"
5462,joy,Oatmeal and toast sounds good to me.
5482,joy,"Cool! Well, let's go over there to join mom. I want to tell her all about the special pests-killing method."
5491,neutral,Wait a minute. Let me throw on a sweater.
5509,neutral,"Yes. It depends. If you have a large order, we will give you a discount."
5512,neutral,"No, it's too far. Let's drive."
5516,neutral,"Besides, remember to make acknowledgments through an E-mail or a call."
5523,joy,It ’ s my pleasure.
5533,joy,That ’ s it for today. Thank you.
5554,joy,"Oh, no problem. Here's the lid that comes with the pan."
5566,joy,Let ’ s do it!
5579,joy,We appreciate your business.
5605,neutral,"Yes, I do. On a scale of one to 10, what would you say morale was in this company?"
5607,joy,That's good answer. I appreciate your being frank.
5629,joy,"He certainly looks interested, doesn ’ t he? Shall we invite him over to our table?"
5639,joy,"Thanks, Jeanine, you are a real pal. Let's go in."
5640,joy,I would like that. Thank you.
5668,neutral,We should take a packed lunch on the journey. The food they sell on the trains is always expensive.
5685,joy,Here's your change. Thank you for shopping with us.
5686,joy,"Thank you, Mrs. Smith. I do hope the answer will be favorable. Goodbye."
5697,joy,"Thank you, you too."
5723,joy,And I've never heard such good sound in a game.
5746,neutral,I am willing to tell you that information.
5747,joy,that's a good idea. I'll call them now. Thanks for your help!
5758,joy,"OK. If you really insist, I could always use the company."
5760,anger,I want to take them to court.
5791,joy,Thanks for letting me know.
5800,neutral,A juice and a coke.
5802,joy,Yes. This has been fun.
5830,joy,Oh. I see. Thanks.
5845,disgust,"That ’ s not all! I also had to finish writing a sales report for my boss. In the end, I finished everything. I wonder what will be waiting for me tomorrow morning."
5862,neutral,OK then. We shall ask them to put some red chilli on it.
5869,joy,yes. He always get us special gift. We should repay his kindness.
5870,joy,That's fine. Let me get your meat.
5881,joy,"Thank you. If you have any problems, just call."
5892,neutral,I'm going to do that as soon as possible.
5902,joy,That ’ s fine. I appreciate your help.
5904,joy,It is thoughtful. I will take it.
5917,joy,that's perfect. I'll let him know tomorrow. Thanks!
5954,joy,"OK. How about some spring rolls and squid balls, some pork skins, and some beer!"
5961,joy,"We appreciate your business, Madam."
5963,neutral,Thank you very much.
6003,neutral,Oh good we are almost there. The museum is round the corner from the Post Office.
6029,joy,Thank you very much.
6041,joy,I really appreciate your help.
6044,neutral,"These are from Guatemala, but we're going to start getting mangoes from India."
6047,joy,"Well, we'll be careful. Thanks for letting me know."
6052,joy,Thank you so much. I appreciate your help.
6064,joy,I ’ m not worried about our country now that it ’ s in his hands.
6099,joy,That's quite good. Thank you for telling me about those.
6103,neutral,"Okay, I'll write it down for you."
6109,joy,It's very nice. I'd like to purchase this refrigerator.
6111,joy,They pay just enough.
6151,joy,All these should be enough. Good luck!
6155,sadness,"I'm sorry, but the price is final."
6156,neutral,Yeah! When I got my nose job I was black and blue for a week!
6160,neutral,"Not at all, but you get what you pay for."
6162,neutral,"Well, when you tell him, be gentle. It's hard for kids to find out something like that."
6170,joy,I'm happy to help.
6171,joy,ok. Thanks for your support.
6189,joy,Bye-bye. Welcome to come next time!
6193,neutral,"I ’ ll have apple pie too, but without ice cream. I have to watch my weight."
6208,neutral,"I'll be expecting you, then."
6209,neutral,"Sorry, that ’ s out of question. I don ’ t have a problem with it. But, unfortunately, the building doesn ’ t allow it. It ’ s a building regulation."
6210,neutral,"You are welcome, goodbye."
6221,joy,I ’ m happy that we ’ Ve come to an agreement.
6232,joy,"You're very welcome. Here is my card, if you need any help."
6241,joy,I can't wait to see it.
6265,anger,I ’ m definitely taking them to court.
6274,joy,That ’ s a good idea. I ’ ll look into finding something like that.
