Dialogue_ID,Utterance_ID,Utterance,Emotion
69,2,"I liked physics. It ’ s all math, really. arcs, curves, velocity, cool stuff.",neutral
69,3,"Yeah, yeah, but today ’ s lesson was all about the creation of the universe.",neutral
69,4,A physics class about the creation of the universe? That ’ s some pretty unscientific language there. Sounds more religious to me.,neutral
69,5,It ’ s all religion. Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff.,neutral
69,6,"Turtles? Whatever... Look, all that ’ s required for the creation of matter an imbalance of particles and anti-particles. At least, that ’ s what the math says.",neutral
69,7,"Math, sheath. What ’ s the evidence?",neutral
69,8,"There is evidence! You know Edwin Hubble? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe, thus advancing notions of an expanding universe. What would it be expanding from? Well, the Big Bang... DUH!",neutral
69,9,"Anyway, it ’ s just a theory. Why do people go around touting theories? Where ’ s the scientific rigor in that?",neutral
69,10,"Dude, don ’ t equivocate. A theory only becomes a theory after withstanding rigorous testing. You slept through class, didn ’ t you?",neutral
85,0,"Hey, Mark, long time no see.",joy
85,1,Julie! It's good to see you again. How have you been?,joy
85,2,Great. I just got back from a week's vacation in Thailand.,joy
85,3,Really? How was it?,joy
85,4,Fantastic! I didn't want to come back.,joy
85,5,I hear the beaches in Thailand are beautiful.,joy
85,6,"They are. And not only that the people are friendly, but also the food is delicious, not to mention cheap.",joy
85,7,I do like Thai food. Did you see much of Bangkok?,joy
85,8,Not much. I've got enough city life in Beijing.,joy
85,9,I know what you mean. I could use a vacation myself.,joy
85,10,"Hey, wouldn't it be great if we could go to Thailand together sometime?",joy
85,11,"Yeah, it sure would.",joy
97,0,What ’ s the plot of your new movie?,neutral
97,1,"It ’ s a story about a policemen who is investigating a series of strange murders. I play the part of the detective. He has to catch the killer, but there ’ s very little evidence. It ’ s a psychological th",neutral
97,2,Did you enjoy making the movie? We heard stories of disagreement with other actors and with the director.,neutral
97,3,I have had disagreement with every director. I ’ Ve worked with. We ’ Ve always disagreed in a friendly way and we have always resolved our differences. It was the same when I made this movie. I don ’ t no,neutral
97,4,Critics are not very happy with the movies that you ’ Ve made recently. Does that bother you?,neutral
97,5,Not at all. The feedback from audience has been great. I care about what they think more than what the critics think.,neutral
97,6,Did you do you own stunts in the movie?,neutral
97,7,"I wanted to, but my insurance company wouldn ’ t let me. All of my stunts were done by a stuntman. As you know, I used to do my own stunts, but I ’ ll leave that to the experts in future.",neutral
97,8,Thank you very much for doing this interview.,joy
97,9,My pleasure. Have you seen the movie yet?,joy
97,10,"Yes. I have. I liked it very much. Like you, I was very impressed with Rachel ’ s performance in the movie. She ’ s going to be a star.",joy
104,0,"Mary, how was your date with john?",neutral
104,1,it's ok. It seems we have a lot in common.,neutral
104,2,"oh, really. That is great news. What does he look like?",neutral
104,3,"he is tall and slim, fair-haired.",neutral
104,4,sounds like he is pretty cute. What do you think of him?,neutral
104,5,he is a nice guy and very considerate. I was impressed with how smart he was and he has a great sense of humor.,neutral
104,6,"oh, it's love at first sight. When will you see each other again?",neutral
104,7,"he didn't say, but he said he would call me.",neutral
104,8,maybe he is busy with his work. Just wait and try not to think about it too much!,neutral
104,9,"oh, steve. Stop it! I am a bit nervous! What if he doesn't call?",neutral
104,10,"come on, Mary, you're a total catch. I bet he will call you. Don't worry.",neutral
104,11,"thank you, Steve. You're always so encouraging.",joy
104,12,that's what friends are for.,joy
129,0,What do you need?,neutral
129,1,I need to use the Internet.,neutral
129,2,"You have your library card, right?",neutral
129,3,"Yes, I do.",neutral
129,4,There is a wait right now to use the computers.,neutral
129,5,That ’ s fine.,neutral
129,6,Would you please write your name on this list?,neutral
129,7,Then what?,neutral
129,8,I will call you when a computer is free.,neutral
129,9,How do I log on to the computer?,neutral
129,10,Use the number on the back of your library card.,neutral
129,11,Thanks. I ’ ll be sitting over there.,neutral
134,0,"Sam, I am so sorry. It was your birthday yesterday and I completely forgot about it.",neutral
134,1,Don't worry about it. I keep forgetting everyone's birthdays as well.,neutral
134,2,"Margaret really told me off when she found out that I had forgotten all about it. We did try to phone you, but you and Jane must have gone out.",neutral
134,3,"Yes, Jane invited me for dinner to this new restaurant which opened near us.",neutral
134,4,"Oh, yes, I know the one. How was the food?",neutral
134,5,"The food was excellent, but Jane ordered a birthday cake, which they forgot about. So as you can see, you were not the only one.",neutral
134,6,"Oh, no.",sadness
134,7,"Yes, Jane was quite upset about it. The manager came to apologize and we did get free dessert, but still...",neutral
134,8,I would think this was the least they could do.,neutral
134,9,In the end it was a nice evening and I got an iPad as my birthday present which I wanted for a while.,neutral
134,10,Great. I have also been thinking of getting one. Do you think you could ask Jane to have a quiet word with Margaret? My birthday is not that far away.,joy
134,11,"I can try, but knowing Margaret she will see through that immediately.",neutral
143,0,"hey, Maris, are you a part-timer?",surprise
143,1,part-timer? Is that a new buzzword?,neutral
143,2,"oh, it ’ s pretty popular among my classmates these days. So are you?",neutral
143,3,"sure, I have a part-time job as a bartender.",neutral
143,4,cool! It must be amazing to work at a bar!,joy
143,5,"yeah, but I ’ m not there for fun. I have to remain professional and if I get distracted, the manager would be pretty upset.",neutral
143,6,that ’ s true. I ’ m wondering did you learn anything from the job?,neutral
143,7,of course. There ’ s always much to learn. I got to know more about the real world.,neutral
143,8,"you mean you got working experience, right?",neutral
143,9,not just working experience. I would say the biggest lesson I learned is how to deal with people from all walks of life.,neutral
143,10,it must be very demanding.,neutral
143,11,"sometimes it is. But after working for a few weeks, it ’ s easy to figure out.",neutral
143,12,really? It sounds interesting.,joy
143,13,maybe you can come to the bar one day and I ’ ll show you around.,neutral
143,14,great. I ’ m looking forward to it.,joy
158,0,"Han Maimed, What's your plan for the weekend?",neutral
158,1,"I plan to travel around Harvard University and know more about it. To tell you the truth, I plan to apply for Harvard after graduation from high school. It ’ s better to get to know it. What about you?",neutral
158,2,I get together with my Christian brothers on Saturdays.,neutral
158,3,"Oh, my God! John, I didn ’ t know you are religious. You just look like a scientific kook, like Leonard in the Big Bang Theory.",surprise
158,4,"Come on, Han Maimed, don ’ t make a fuss. A lot of Americans, including many scientists, believe in religion.",neutral
158,5,"But I ’ m really surprised. I thought science and religion are not compatible, are they?",neutral
158,6,"Yes, they are compatible. Actually, the U. S. is both the most developed and the most religious country in the world.",neutral
158,7,"I've heard about it a little bit before, but I don ’ t understand. How can people believe in God since they know God doesn't exist?",neutral
158,8,"That ’ s a little complicated. You ’ ll get to know it when you are acquainted with the U. S. history later on. Religion was and is a part of American people ’ s life. Guess what? Even Harvard University, which is a highly academic institution, is in a sense the product of religion.",neutral
158,9,Really?,surprise
158,10,Absolutely! It was founded by a group of Puritan immigrants from England.,neutral
158,11,Why was it founded by the Puritans? Where were the atheistic educators?,neutral
158,12,Because most of the first English immigrants who came to the United States were Puritans.,neutral
158,13,How come? I mean why most of them were religious people?,surprise
158,14,"That ’ s because in the 16th and 17th century, there was a series of religious reforms in England. Many religious separatists were persecuted and fled to other countries.",neutral
158,15,"So, you mean people didn't enjoy religious freedom in England?",neutral
158,16,"Yes, that's why Puritans moved to the New World, where they believed they could establish a heaven for Puritans. Later on, it was these Puritans who founded Harvard College.",neutral
158,17,Why did they want to found a college?,neutral
158,18,Many Puritans had received classic style of higher education in Oxford University and Cambridge University back in England. They hoped that their descendants could receive this kind of education as well.,neutral
158,19,"Oh, I see.",neutral
158,20,"Actually Harvard was first named'New College', without a formal name.",neutral
158,21,When did it begin to be called Harvard University?,neutral
158,22,"In 1639, it was renamed after its major benefactor John Harvard. Interestingly, JohnHarvard himself was a clergyman.",neutral
158,23,It seems that Harvard was predestined to be influenced by religion.,neutral
158,24,"Therefore, it ’ s not exaggerate to claim that had there not been religion, there would note Harvard.",neutral
158,25,"Wow, I didn ’ t know that religion had played such an important role in Harvard history.",neutral
158,26,Religion has been playing an indispensible part in Harvard history as well as the U. S.,neutral
158,27,I finally begin to get to know Harvard. It seems that my knowledge of Harvard is rather poor. I have a lot work to do before applying for Harvard.,neutral
158,28,Remember that Harvard is a part of the United States. So you have to know the U. S. history and culture if you want to have in-depth knowledge of Harvard. The two are closely related.,neutral
158,29,That ’ s right. I have a lot to learn from you.,joy
158,30,You can ask me any question at any time.,joy
178,0,What kind of music do you like listening to?,neutral
178,1,"I like music that has a fast beat and is lively, like dance music. You know, I go to a disco almost every week. Sometimes it's too loud though. You prefer classical music, don ’ t you?",neutral
178,2,"Yes, I do. I find it very relaxing. I often listen to Mozart or Bach in the evening after a hard day at work.",neutral
178,3,I must admit that I like several pieces of classical music. It ’ s certainly more sophisticated that modern dance music.,neutral
178,4,Classical music is supposed to be good for you brain. Research suggest that it makes your brain more active. Students who listen to classical music while studying perform better.,neutral
178,5,Really? Perhaps I should listen to classical music often. I heard that listening to classical music is helpful in reducing stress.,surprise
178,6,Yes. That ’ s why I listen to it in the evenings. I usually play it as background music while I ’ m cooking or doing other housework.,neutral
178,7,I ’ Ve got a few classical music CD ’ s. I should follow your lead and increase my brian power.,neutral
178,8,You can find plenty of recording on the internet too. You can listen to samples and then buy them very cheaply if you like them.,neutral
178,9,"That ’ s a good idea. You should do the same with some music. You might find something you like. Classical music might make you clever, but dance might make you livelier and happier.",joy
178,10,That ’ s true. There ’ s clear evidence that people who listen to lively music are lively people. Music can influence a person ’ s feeling and character.,neutral
181,0,"Well, I am a regular member of this club.",neutral
181,1,Do you have to pay to join?,neutral
181,2,"Yes, membership fees vary depending on the club but usually they run into tens of thousands of dollars.",neutral
181,3,"Wow, that much? Don't they have any public courses?",surprise
181,4,"Very few, unfortunately.",neutral
181,5,How was your game today?,neutral
181,6,"Extremely good. I shot a 78, including 5 birdies!",joy
181,7,Congratulations! What's your normal handicap?,joy
181,8,Ten. How did your game go?,neutral
181,9,My drives were terrible today. I kept slicing the ball into the roughs and sand traps.,sadness
181,10,Maybe you can correct it by going to a driving range before you play again.,neutral
228,0,Have you been ever been to Disneyworld?,neutral
228,1,"When I was young, my parents took me to the one in California. I always forget which — is that one Disneyland or Disneyworld?",neutral
228,2,"The one in Florida is Disneyworld and the one in California is Disneyland, so you must have been to Disneyland.",neutral
228,3,That's right. Why do you ask?,neutral
228,4,"Well, I've never been to either so I was thinking of going to Disneyworld for my honeymoon.",joy
228,5,When are getting married?,joy
228,6,Some time next year. We haven't set the date yet.,joy
228,7,Congratulations! I had no idea.,joy
228,8,Thank you. So what do you think? Would we have a good time?,joy
228,9,Do you like amusement parks?,neutral
228,10,"For the most part, yes. Some of the rides are bit too scary for me, though.",neutral
228,11,"If you don't think twice about the rides and go on every ride that you can, you'll have a good time.",joy
228,12,Even the roller coasters that go through tunnels in the dark?,joy
228,13,"Even those. It'll be very romantic, I think. You'll have loads of fun.",joy
228,14,Thanks for the advice. I'll talk to my fiance about it tonight.,joy
228,15,I'm sure he'll love the idea. Just throw yourself into it and you'll enjoy it!,joy
230,0,you look better today. How did your test go?,neutral
230,1,much better than it did yesterday.,neutral
230,2,did you pass?,neutral
230,3,"I not only passed my test, but I aced it! I'm so happy!",joy
230,4,you should be. You worked really hard last night preparing for it.,neutral
230,5,"thanks for helping me with it. If you hadn't encouraged me to do my best, I wouldn't have ever been able to pass.",joy
230,6,you don't have to thank me. It's just a part of my job as your counsellor.,neutral
230,7,did you always do well at school?,neutral
230,8,"no, in fact, I was terrible at taking exams.",neutral
230,9,really?,surprise
230,10,"sure, but my teachers always encouraged me to do the best that I could and that helped me a lot. When are your final exams?",neutral
230,11,I'll get my finals in two months.,neutral
230,12,when do you plan on studying for those exams?,neutral
230,13,most students just cram the night forehead.,neutral
230,14,do you think that's a good idea?,neutral
230,15,"no, I think I should study a little bit at a time, starting a few weeks before the exam.",neutral
230,16,that sounds like a good idea. What are you going to do if you have any questions while you're studying?,neutral
230,17,I'll go and talk to my professor or a learning support assistant.,neutral
230,18,it sounds like you've learned something useful this year!,neutral
232,0,Do you want to go to the beach tonight?,joy
232,1,"Sure, which beach are we going to?",joy
232,2,I wanted to go to Malibu beach.,neutral
232,3,I like Santa Monica.,neutral
232,4,The water there looks so dirty.,disgust
232,5,I just like the pier they have at Santa Monica.,neutral
232,6,"I like the pier too, because it's beautiful at night.",joy
232,7,Is Malibu beach nice?,neutral
232,8,"It's a lot nicer, and I really like it better.",neutral
232,9,So you want to go to Malibu?,joy
232,10,If that's okay with you.,joy
232,11,"Sure, let's go to Malibu.",joy
236,0,What can I do for you?,neutral
236,1,I am trying to find this book.,neutral
236,2,What ’ s the problem?,neutral
236,3,It doesn ’ t seem like this library has it.,neutral
236,4,Have you checked the computer?,neutral
236,5,I have already.,neutral
236,6,What did it say?,neutral
236,7,"It says the book is on the shelf, but I didn ’ t find it there.",neutral
236,8,I can always borrow the book from another library.,neutral
236,9,You can do that?,neutral
236,10,I ’ ll make the call and contact you when it gets in.,neutral
236,11,That ’ s fantastic. Thank you.,joy
285,0,Why didn't you tell me you had a girlfriend?,anger
285,1,"Sorry, I thought you knew.",neutral
285,2,But you should have told me you were in love with her.,neutral
285,3,Didn't I?,neutral
285,4,You know you didn't.,neutral
285,5,"Well, I'm telling you now.",neutral
285,6,"Yes, but you might have told me before.",neutral
285,7,I didn't think you'd be interested.,neutral
285,8,You can't be serious. How dare you not tell me you were going to marry her?,anger
285,9,"Sorry, I didn't think it mattered.",neutral
285,10,"Oh, you men! You're all the same.",anger
294,0,"Hi Cody, how did practicing go this week?",neutral
294,1,"Well I had several tests and an oral presentation this week so I didn ’ t get a chance to memorize the second page, but I think I mastered the tricky section.",neutral
294,2,"Great! Warm up with some scales and arpeggios first. Good, good. This week, work on keeping the rhythm steady when you play the last part with the sixteenth note. Now let ’ s take a look at this",joy
294,3,Charles? Before I start I was wondering if it was ok if I put a small crescendo in here and then decrescendo back to pianissimo again over here?,neutral
294,4,It might work. I ’ ll have to hear it.Show me what you ’ Ve done.,neutral
294,5,It was horrible! I played play it much better at home!,neutral
294,6,"It ’ s just nerves. Just play the right hand for now. One two three four five six, ta ti tri-ple-ti. Good, good. Don ’ t forget the accidentals! The key signature says that note should be a G-sharp b",neutral
294,7,Is that better?,neutral
294,8,"Yes, much better. Watch where you lift your foot off the pedal. What was that?",neutral
294,9,Sorry! The stretch for that octave is always hard to make.,neutral
294,10,"That's ok, keep going, you ’ re moving ahead by leaps and bounds. Watch your dynamics! Keep your elbows lifted. Remember to stroke the keys, don ’ t pound. That ’ s better! Remember that as a pianist or any",joy
300,0,I've got some bad news about the bike you lent me.,neutral
300,1,What's that?,neutral
300,2,"I fell on the way to school, and your bike got scratched. I'm really sorry.",sadness
300,3,"Don't worry about it. It's not new, it already has a few scratches. Did you get hurt?",neutral
300,4,"No, thank you.",joy
300,5,That's the most important thing.,neutral
300,6,It's kind of you to say. I feel a little stupid.,neutral
300,7,Forget about it.,neutral
300,8,"When you lent me the bike, it looked brand new, almost anyway.",neutral
300,9,"Maybe, but really I have fallen a couple of times and it's been hit once or twice as well.",neutral
300,10,"I appreciate that, thank you.",joy
313,0,Are you new to this school?,neutral
313,1,"Yes, I ’ m new.",neutral
313,2,Is this your first year in college?,neutral
313,3,I transferred from another school.,neutral
313,4,Where did you transfer from?,neutral
313,5,I was at PCC before.,neutral
313,6,Why did you transfer?,neutral
313,7,"I was going to go here first, but my grades weren ’ t good enough.",neutral
313,8,Did you like it at PCC?,neutral
313,9,PCC is an incredible school.,neutral
313,10,"Well, I wish you luck here.",joy
313,11,I ’ m sure I ’ ll like it here.,joy
316,0,"It ’ s so relaxing, taking a walk in the country. The air is so fresh and clean.",joy
316,1,would you like to live in the country? I ’ m not sure I ’ d like it.,neutral
316,2,"I can see a lot of advantage and disadvantage. The problem is that, for me, each advantage has its own disadvantage.",neutral
316,3,What do you mean?,neutral
316,4,"Well, I hate the noise in the city, but I love being around lost of people. The problem is that you can ’ t have lots of people and have peace and quiet. The two just don ’ t go together.",disgust
316,5,"I see what you mean. I love being far away from a city, but I hate being so far away department stores and sports facilities.",neutral
316,6,"People can ’ t have it both ways. If you live in the country, it is often less convenient. If you live in a city, it is noisy, but there ’ s more to do.",neutral
316,7,"I would love to be surrounded by hills and streams. They ’ re so much better to look at than concrete, rows of parked cars and tall buildings.",joy
316,8,"I would love to hear the birds singing and feel the fresh breeze on my face. When the wind blows in the city, you get dust in your mouth and in your eyes.",joy
316,9,The view from the hill is so beautiful and relaxing. There ’ s so sign of pollution. The village looks so peaceful.,joy
316,10,Just remember that in that village there ’ s nothing to do. There ’ s not even a pub or restaurant. There ’ s just one small shop with a poor selection of goods.,neutral
316,11,You ’ re right. I would have to travel to the city at least once a week to go shopping and see friends. I would hate living in the country!,joy
325,0,"why are you so upset today, Maria? Cheer up!",neutral
325,1,"oh, Iris, it ’ s about the job with the PR company.",neutral
325,2,it ’ s a great opportunity. You should be happy with the offer.,neutral
325,3,but my mother won ’ t allow me to accept any part-time job. I ’ m afraid she will say no again.,neutral
325,4,why? It ’ s unfair. You can learn a lot from it.,surprise
325,5,she says a part-time job is cursed blessing. It takes so much time and energy that I won ’ t be able to focus on my studys.,neutral
325,6,that may be true. But I ’ m sure you ’ re able to find a balance between them. Why not try it?,neutral
325,7,"I turned down quite a few offers before for her sake. But I ’ m a senior now, I don ’ t want to miss the chance this time.",neutral
325,8,I agree with you but I think you really need to talk to your mother and tell her what's on your mind.,neutral
325,9,"I ’ ll try, but what if she insists?",neutral
325,10,"just let her know that the experience will be both amazing and rewarding. And more importantly, you can manage both your study and the job.",neutral
325,11,do you think it will work?,neutral
325,12,sure. Every cloud has its silver lining. Just try.,neutral
325,13,"ok, I ’ ll do that. Thank you, Iris.",joy
325,14,"sure. Good luck, Maria!",joy
339,0,"Could you tell me what university you want to go to, John?",neutral
339,1,Pardon?,neutral
339,2,What university would you enter?,neutral
339,3,University? Why? You asked me last year.,neutral
339,4,"Oh, I forget. Sorry.",neutral
339,5,I went to Harvard University.,neutral
339,6,Did you? And what course did you take there?,neutral
339,7,God save me! Is there anything wrong with you? Didn't I tell you?,neutral
339,8,"I've not known. Perhaps, I've got a bad memory.",neutral
339,9,I did a B. A. in economics. Remember?,joy
339,10,"Terrific! B. A., again and again-B. A.",neutral
343,0,Hi Mark.,neutral
343,1,Hi.,neutral
343,2,What are you planning to do today?,neutral
343,3,I'm not sure yet.,neutral
343,4,Would you like to have lunch with me?,joy
343,5,Yes. When?,joy
343,6,Is 11:30 AM OK?,neutral
343,7,"Sorry, I didn't hear you. Can you say that again please?",neutral
343,8,"I said, 11:30 AM.",neutral
343,9,"Oh, I'm busy then. Can we meet a little later?",neutral
343,10,"OK, how about 12:30 PM?",joy
343,11,OK. Where?,joy
343,12,How about Bill's Seafood Restaurant?,joy
343,13,"Oh, Where is that?",joy
343,14,It's on 7th Street.,joy
343,15,"OK, I'll meet you there.",joy
356,0,How may I help you?,neutral
356,1,I need to get on the Internet.,neutral
356,2,Do you have your library card with you?,neutral
356,3,"Yes, I have it.",neutral
356,4,You ’ re going to have to wait for a computer.,neutral
356,5,That ’ s okay.,neutral
356,6,Please put your name on this list.,neutral
356,7,Then what do I need to do?,neutral
356,8,"When there is a computer available, I will call you.",neutral
356,9,What do I do to log on to the computer?,neutral
356,10,Just type in the number on the back of your library card.,neutral
356,11,Okay. Thanks for your help.,joy
367,0,I've been so stressed these days.,neutral
367,1,What's the matter? Are you OK?,neutral
367,2,"I don't know where to go for college, and what to major in.",neutral
367,3,Don't worry. You have plenty of time to decide.,neutral
367,4,And I also want to get scholarships to help me pay for the tuition. I want to get the burden off my family.,neutral
367,5,"You always worry too much about everything. Take it easy, honey. You are good enough. You can go to the ideal college.",neutral
367,6,"OK, OK. I'm so sorry. By the way, for you, is it more important to make money or to enjoy your work?",neutral
367,7,"In a perfect world, I would enjoy my work if I do not have to do much, and make lots of money!",joy
367,8,"OK, honey, stop dreaming. You should face the reality.",neutral
367,9,"That's only a joke. To be honest, I have to improve my English, because my English is not good enough. I still get confused about some simple grammars. Since you are quite good at it, do you have any suggestions?",neutral
367,10,"En, first you should be concentrated on what the teacher said in class. Second, I suggest you to take an additional course in some training center.",neutral
367,11,Is the training center helpful?,neutral
367,12,I think so. Because I've taken one to improve my oral English during summer vacation.,neutral
371,0,Would you like to stretch your legs?,joy
371,1,Sure.,joy
371,2,Let's get a soft drink.,joy
371,3,Do we have enough time?,neutral
371,4,It's a fifteen-minute intermission.,neutral
371,5,The seats are excellent. We're right in the center.,joy
371,6,It's a new concert hall and the acoustics are great.,joy
371,7,I can't agree more.,joy
371,8,Is this your first time to come to a symphony concert?,neutral
371,9,"In the United States, yes. But back in China, I went to concerts a couple of times with my parents.",neutral
371,10,Do you have large concert halls in your city?,neutral
371,11,We have two. One is like this one. The other is a little smaller.,neutral
371,12,"That's great. Well, we'd better get back to our seats. It's about to start.",joy
372,0,May I help you?,neutral
372,1,What time will the library be closing?,neutral
372,2,It closes at six.,neutral
372,3,Does it always close at six?,neutral
372,4,"No, not every day.",neutral
372,5,Will the library be open on Saturday?,neutral
372,6,Absolutely.,neutral
372,7,What are your hours on Saturday?,neutral
372,8,Saturday ’ s hours are from nine in the morning to six-thirty at night.,neutral
372,9,All right. Thank you.,neutral
372,10,What else can I help you with?,neutral
372,11,That ’ s it. Thank you.,joy
378,0,Aren ’ t you going to swim?,neutral
378,1,Are you kidding? Don't you know I can't swim?,surprise
378,2,"You are not telling me that we drove 50 miles to come here for just sunbath, are you?",neutral
378,3,"Hey, don't shout. Come here! Sit closer. Now, Jim, we ’ Ve had a lovely day. Don't spoil it now.",neutral
378,4,What about your beautiful bathing suit? We shopped all day. Don't you want to show it off?,neutral
378,5,"Everybody who walks past me sees it. Besides, it's a good sunbathing suit.",neutral
378,6,All right. Suit yourself. I am going swimming.,neutral
378,7,Jim!,neutral
378,8,Yes?,neutral
378,9,Can you get me a beach umbrella and a deck chair? I am really tired of lying in thousand.,neutral
378,10,I've got a better idea. Why don ’ t we hire a boat and go for a ride? What do you think?,neutral
378,11,Are you serious? That will be wonderful!,joy
381,0,"Adam, could you show me around the school?",neutral
381,1,No problem.,neutral
381,2,What's the tallest building?,neutral
381,3,You mean the white building near the playground?,neutral
381,4,Yes.,neutral
381,5,"That is the library. And it has more than 1,000, 000 books.",neutral
381,6,What's the building to the south of the library?,neutral
381,7,"You know, our school is divided into two parts, the junior high school and the senior high school. That is the new classroom building for our senior high school.",neutral
381,8,Is there a swimming pool in your school?,neutral
381,9,"Yes. There is a large swimming pool, but it is only available in summer.",neutral
381,10,I do envy you. And I hope I can enter your school one day.,neutral
381,11,I believe that you can make your dream come true.,joy
419,0,How may I help you?,neutral
419,1,I want to return this video.,neutral
419,2,Is that all you need?,neutral
419,3,I also need to check this magazine out.,neutral
419,4,You ’ re not allowed to do that.,neutral
419,5,I don ’ t understand.,neutral
419,6,It ’ s our policy.,neutral
419,7,What can I check out?,neutral
419,8,Only books or videos.,neutral
419,9,I need this magazine.,neutral
419,10,You will have to read it here.,neutral
419,11,That ’ s weird.,sadness
423,0,"Hello, 8520388 2.",neutral
423,1,"Hi, this is Maria. Is that Shirley?",neutral
423,2,"Hi, Maria, this is Shirley.",neutral
423,3,"Shirley, do you know today's homework from our economic law class? I have written it on a piece of paper but I can't find it now.",neutral
423,4,Hold on for a moment please. I'm fetching my textbook.,neutral
423,5,OK.,neutral
423,6,"Oh, the homework is to explain what economic law is both in broad sense and in narrow sense.",neutral
423,7,Explain the economic law? An essay question again?,neutral
423,8,Yes. You can use your textbook for your reference.,neutral
423,9,Are there any clear answers in the book to this question?,neutral
423,10,"I don't think so, Maria, but I think you can look for information on the Internet.",neutral
423,11,"OK, thank you, Shirley. You are very helpful. I have another question. When does the Economic Law of China come into effect?",neutral
423,12,"Oh, there isn't such a code called economic law. The Economic Law of China is a general concept for several laws.",neutral
423,13,There isn't such a code?,neutral
423,14,"Yes, it's a general name for several laws related to economics, like Commercial Law, and Law of Central Bank.",neutral
423,15,"Got it. Thank you, Shirley.",joy
425,0,The performance is amazing. I'm curious about how they did it. I mean the way they sing.,joy
